title,abstract,id,day,month,year
Effects of a 6-week treadmill training with and without virtual reality on frailty in people with multiple sclerosis: Frailty rehabilitation in multiple sclerosis.,"To examine the effects of a cognitive-motor rehabilitation program consisting of treadmill training augmented by virtual reality (TT+VR) on frailty in people with multiple sclerosis (pwMS). Secondary analysis from a multi-center randomized controlled trial investigating the effects of TT+VR, compared to treadmill training (TT) only, on measures of mobility and cognitive function in pwMS. Four university research laboratories in Israel, the United States, and Germany. A total of 124 pwMS were randomized into the parent trial. Here, we studied a subset of 83 participants (mean age=49.4±9.3 years, 73.5% female, EDSS range=2.0-6.0), who completed the intervention and had complete pre- and post-intervention frailty data. Participants were randomly allocated to TT+VR (n=44) or to TT (n=39). Both groups trained three times a week for six weeks. Frailty was assessed using a 40-item frailty index (FI) through standard validated procedures and represented the primary study outcome. Two exploratory frailty indices were also computed by isolating health-related deficits involving the cognitive (FI-physical) or physical (FI-cognitive) domains from the main FI. The assessments were performed at baseline and after six weeks, upon intervention completion. The mean FI of study participants at baseline was 0.33±0.13, indicating a moderate average level of frailty. FI scores improved in both TT+VR and TT participants (pooled mean ΔFI=0.024, 95%CI=0.010-0.038, F=10.49, p=0.002, η p 2 =0.115), without any group-by-time interaction (F=0.82, p=0.367, η p 2 =0.010). However, a significant group-by-time interaction was found for pre- and post-training changes in FI-cognitive (F=5.74, p=0.019, η p 2 =0.066), suggesting a greater improvement for TT+VR participants than for TT participants. Treadmill training with or without virtual reality can reduce frailty levels in pwMS. While both TT and TT+VR had a positive impact on overall frailty, only TT+VR improved cognitive aspects of frailty and may represent an appropriate strategy for counteracting frailty in pwMS.",39341443,26,9,2024
Virtual Reality in Cancer Care: Enhancing Knowledge and Reducing Anxiety about Chemotherapy among Patients and Caregivers.,"Virtual reality (VR) technology has evolved from entertainment to significant applications in healthcare and education. Despite its potential, there is limited research on the role of VR in cancer care. This study investigates VR's ability to simulate the chemotherapy process, aiming to enhance patients' knowledge and mitigate anxiety associated with chemotherapy. Utilizing a two-arm, mixed-methods pre/post-survey design, the study measured changes in patients' anxiety and knowledge before and after exposure to a VR simulation. Participants ( n  = 267) engaged with VR simulations or interactive 360-degree videos depicting the chemotherapy process. Data analyses revealed a significant median increase in chemotherapy knowledge post-exposure to the VR content (z = 12.511,  p  < 0.001). Demographic factSors significantly influenced perceptions of VR realism and usefulness ( p  < 0.05). Additionally, VR exposure was correlated with reduced anxiety levels and improved treatment expectations ( p  < 0.05). Participants with higher post-understanding chemotherapy scores considered VR a useful tool for managing anxiety about chemotherapy and recommended VR for other medical procedures ( p  < 0.001). These findings underscore VR technology's potential as a valuable tool in cancer treatment, suggesting it can enhance patient education and reduce anxiety, thereby improving patient outcomes during cancer therapy.",39338046,1,9,2024
Virtual Reality as a Therapeutic Tool in Spinal Cord Injury Rehabilitation: A Comprehensive Evaluation and Systematic Review.,"Introduction : The spinal rehabilitation process plays a crucial role in SCI patients' lives, and recent developments in VR have the potential to efficiently engage SCI patients in therapeutic activities and promote neuroplasticity.  Objective : The primary objective of this study is to assess a complete review of the extended impacts of VR-assisted training on spine rehabilitation in SCI patients.  Methods : This systematic review was conducted according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) through a single database search in PubMed/Medline between the dates 1 January 2010 and 1 February 2024. MESH terms and keywords were combined in the following search strategy: (Augmented Reality OR VR OR Virtual Reality) AND (Spine OR Spinal) AND Rehabilitation. Included articles were written in English, involved adults with SCI, included an intervention with VR, AR, or any mixed reality system, and assessed changes in outcomes after the intervention.  Results : The search produced 257 articles, and 46 of them were allocated for data extraction to evaluate 652 patients. Both when VR training was analyzed and reviewed separately, and when compared to traditional training, the findings exhibited predominantly promising outcomes, reflecting a favorable trend in the study. VR technologies were used in different settings and customizations, and the medium total time of VR training among the studies was 60.46 h per patient.  Conclusions : This auspicious outcome of the study further motivates the intervention of VR and AR in the rehabilitation of SCI patients along with ameliorating their overall holistic well-being.",39336916,13,9,2024
Effectiveness of Transcranial Direct Current Stimulation (tDCS) during a Virtual Reality Task in Women with Fibromyalgia-A Randomized Clinical Study.,"Fibromyalgia (FM) is a chronic condition characterized by widespread musculoskeletal pain, fatigue, and impaired motor performance. This study aimed to investigate the effects of transcranial direct current stimulation (tDCS) during virtual reality (VR) tasks on the motor performance of women with FM. Participants were divided into two groups: Group A received active tDCS for 10 days followed by sham tDCS for 10 days, while Group B received the opposite sequence. Both groups performed VR tasks using MoveHero software (v. 2.4) during the tDCS sessions. Motor performance was assessed by the number of hits (movement with correct timing to reach the targets) and absolute (accuracy measure) and variable (precision measure) errors during VR tasks. Participants were 21 women, aged 30-50 years, and diagnosed with FM. Group A, which received active tDCS first, presented significant improvements in motor performance (number of hits and absolute and variable errors). The benefits of active tDCS persisted into the sham phase, suggesting a lasting neuroplastic effect. tDCS during VR tasks significantly improved motor performance in women with FM, particularly in complex, extensive movements. These findings indicate that tDCS enhances neuroplasticity, leading to sustained motor improvements, making it a promising therapeutic tool in FM rehabilitation.",39335423,18,9,2024
Comparison between Motor Performance of People with Multiple Sclerosis during a Virtual Reality Task Practiced on Concrete and Abstract Devices: A Cross-Sectional Randomized Study.,"Multiple sclerosis (MS) is an autoimmune demyelinating disease of the central nervous system with unknown etiology, resulting in various impairments that necessitate continuous rehabilitation to enhance functionality, quality of life, and motor function, including through Virtual Reality (VR) therapy. Comparing tasks in virtual environments and their potential skill transfer to real-world settings could aid in optimizing treatment programs to improve motor performance in individuals with MS. This study aimed to determine whether practicing acquisition and retention phases using two distinct interfaces (concrete-Touch Screen or abstract-Kinect system) affects performance in a subsequent task using a different interface (transfer phase). A randomized clinical trial was conducted with 56 volunteers with MS and 41 controls. Participants engaged in a computer game where they burst as many bubbles as possible within 10 s per attempt. After the acquisition and retention phases, all participants switched interfaces (e.g., those using Kinect switched to Touchscreen and vice versa). Significant performance improvements were observed in both groups during the acquisition phase, which were maintained in the retention phase. Although the abstract interface was more challenging for both groups, only the MS group that practiced with the abstract interface successfully transferred their improvements to the concrete interface. Thus, despite the increased difficulty of the abstract task during practice, it led to better performance transfer when required to complete a subsequent concrete task, suggesting that abstract devices may be beneficial in clinical practice for improving motor function in people with MS.",39335411,12,9,2024
Efficacy of a Virtual Reality Rehabilitation Protocol Based on Art Therapy in Patients with Stroke: A Single-Blind Randomized Controlled Trial.,"Art therapy has a long history of applications in cognitive and motor rehabilitation. More recently, a growing body of scientific literature has highlighted the potential of virtual reality in neurorehabilitation, though it has focused more on the technology itself than on the principles adopted in digital scenarios. This study is a single-blind randomized controlled trial conducted on 40 patients with stroke, comparing conventional therapy (physical therapy for the upper and lower limbs, for posture and balance, cognitive therapy, occupational therapy, speech therapy, and specific therapy for swallowing, bowel, and bladder dysfunctions) to a protocol in which the upper limb physical therapy was substituted with art therapy administered by means of virtual reality exploiting the so-called Michelangelo effect. After 12 sessions, patients in the virtual art therapy group showed a significantly greater improvement in independence in activities of daily living, as assessed by the Barthel Index (interaction of time and group:  p  = 0.001). Significant differences were also found in terms of upper limb muscle strength (Manual Muscle Test,  p  < 0.01) and reduction in spasticity (Ashworth scale,  p  = 0.007) in favor of the experimental group. In the virtual art therapy group, the effectiveness of the intervention was significantly correlated with patient participation (Pittsburgh Rehabilitation Participation Scale: R = 0.41), patient satisfaction (R = 0.60), and the perceived utility of the intervention by the therapist (R = 0.43). These findings support the efficacy of virtual art therapy leveraging the Michelangelo effect. Further studies should also focus on cognitive domains that could benefit from this type of approach.",39335359,27,8,2024
A Virtual Reality Platform for Evaluating Deficits in Executive Functions in Deaf and Hard of Hearing Children-Relation to Daily Function and to Quality of Life.,"Background:  Childhood hearing loss is a common chronic condition that may have a broad impact on children's communication and motor and cognitive development, resulting in functional challenges and decreased quality of life (QoL).  Objectives:  This pilot study aimed to compare executive functions (EFs) as expressed in daily life and QoL between deaf and hard-of-hearing (D/HH) children and children with typical hearing. Furthermore, we examined the relationship between EFs and QoL in D/HH children.  Methods:  The participants were 76 children aged 7-11 yr: 38 D/HH and 38 with typical hearing. Parents completed the Behavior Rating Inventory of Executive Function (BRIEF) and Pediatric Quality of Life Inventory (PedsQL), while the child performed a shopping task in the virtual action planning supermarket (VAP-S) to reflect the use of EFs in daily activity.  Results:  D/HH children showed significantly poorer EFs (as measured by BRIEF and VAP-S) and reduced QoL. Difficulties in EFs were correlated with lower QoL. BRIEF scores were significant predictors of QoL domains.  Conclusions:  Difficulties in EFs may characterize children with D/HH and reduce their QoL. Therefore, EFs should be screened and treated. VAP-S and BRIEF are feasible tools for evaluating EFs that reflect children's challenges due to EF difficulties in real-life contexts.",39334655,13,9,2024
Opportunities and challenges in leveraging digital technology for mental health system strengthening: a systematic review to inform interventions in the United Arab Emirates.,"Digital technology offers scalable, real-time interventions for mental health promotion and treatment. This systematic review explores the opportunities and challenges associated with the use of digital technology in mental health, with a focus on informing mental health system strengthening interventions in the United Arab Emirates (UAE). Following PRISMA guidelines, a systematic search of databases was conducted up to August 2023 and identified a total of 8479 citations of which 114 studies were included in the qualitative analysis. The included studies encompass diverse digital interventions, platforms, and modalities used across various mental health conditions. The review identifies feasible, acceptable, and efficacious interventions, ranging from telehealth and mobile apps to virtual reality and machine learning models. Opportunities for improving access to care, reducing patients' transfers, and utilizing real-world interaction data for symptom monitoring are highlighted. However, challenges such as digital exclusion, privacy concerns, and potential service replacement caution policymakers. This study serves as a valuable evidence base for policymakers and mental health stakeholders in the UAE to navigate the integration of digital technology in mental health services effectively.",39334131,27,9,2024
Redesign of a virtual reality basic life support module for medical training - a feasibility study.,"Healthcare providers, including medical students, should maintain their basic life support (BLS) skills and be able to perform BLS in case of cardiac arrest. Research shows that the use of virtual reality (VR) has advantages such as improved accessibility, practice with lifelike situations, and real-time feedback during individual training sessions. A VR BLS module incorporating these advantages, called Virtual Life Support, has been developed especially for the medical domain. Virtual Life Support was collaboratively developed by software developers and stakeholders within the field of medical education. For this study, we explored whether the first version of this module capitalised on the advantages of VR and aimed to develop an understanding of barriers to feasibility of use. This study was conducted to assess the feasibility of employing Virtual Life Support for medical training and pinpoint potential obstacles. Four groups of stakeholders were included through purposive sampling: physicians, BLS instructors, educational experts, and medical students. Participants performed BLS on a BLS mannequin while using Virtual Life Support and were interviewed directly afterwards using semi-structured questions. The data was coded and analysed using thematic analysis. Thematic saturation was reached after seventeen interviews were conducted. The codes were categorised into four themes: introduction, content, applicability, and acceptability/tolerability. Sixteen barriers for the use of Virtual Life Support were found and subsequently categorised into must-have (restraining function, i.e. necessary to address) and nice to have features (non-essential elements to consider addressing). The study offers valuable insights into redesigning Virtual Life Support for Basic Life Support training, specifically tailored for medical students and healthcare providers, using a primarily qualitative approach. The findings suggest that the benefits of virtual reality, such as enhanced realism and immersive learning, can be effectively integrated into a single training module. Further development and validation of VR BLS modules, such as the one evaluated in this study, have the potential to revolutionise BLS training. This could significantly improve both the quality of skills and the accessibility of training, ultimately enhancing preparedness for real-life emergency scenarios.",39333990,27,9,2024
"Examining the Feasibility, Acceptability, and Preliminary Efficacy of an Immersive Virtual Reality-Assisted Lower Limb Strength Training for Knee Osteoarthritis: Mixed Methods Pilot Randomized Controlled Trial.","Knee osteoarthritis prevalently causes significant pain, activity limitations, psychological distress, and reduced quality of life. Despite lower limb strength training being a core treatment for knee osteoarthritis, adherence remains a challenge, prompting the exploration of virtual reality (VR) to improve exercise compliance. Recent research suggests the potential of VR in providing enhanced pain management and functional outcomes for knee osteoarthritis, necessitating further exploration of immersive VR technology. We aimed to study the feasibility, acceptability, and preliminary efficacy of an immersive VR-assisted lower limb strength training for knee osteoarthritis (VRiKnee). A convergent, parallel, mixed methods study was conducted in 30 participants with knee osteoarthritis. After 1:1 randomization, the VRiKnee group (n=15) was assigned to perform repetitive concentric quadriceps and isometric vastus medialis oblique exercise in an immersive environment using a head-mounted display for 12 weeks. The control group (n=15) completed the same exercises without VRiKnee. VRiKnee participants were interviewed at week 12 to study VRiKnee acceptability and user experience. Quantitative data included feasibility outcomes such as recruitment, dropout, and exercise adherence rates, and effectiveness outcomes such as the numeric rating scale, the Western Ontario and McMaster Universities Osteoarthritis Index (100 points) pain and function subscales, and objective physical activity measured by metabolic equivalents of task using an ActivPAL accelerometer. Qualitative data were analyzed by thematic analysis, followed by integration with quantitative data using joint displays. The recruitment rate was 100% (N=30), with enrollment of 30 participants in 7.57 weeks. The median age was 63.5 (IQR 61.8-66.3) years, with 76% (n=23) being female. The response rates were 80% and 93% for the VRiKnee and control groups. Dropout rates were 13% for VRiKnee and 7% for the control group. Median exercise adherence was 77% (IQR 37-104%) for VRiKnee and 62% (IQR 40-166%) for the control group, respectively, with adherence reduction over this study's period and no significant intergroup differences (P=.82). No statistically significant differences were observed in primary and secondary outcomes, though positive trends were observed in pain and stiffness. Cybersickness was reported by 5 (33%) participants in the VRiKnee group. In the qualitative analysis, 4 themes, 11 subthemes, and 16 quotes were generated, identifying facilitators and barriers with practical suggestions to enhance the usability of VRiKnee. VRiKnee demonstrated feasibility, acceptability, and potential efficacy in managing knee osteoarthritis. Future trials of larger sample sizes and better VR designs will confirm its role in clinical practice.",39331525,27,9,2024
Altered Movement Coordination during Functional Reach Tasks in Patients with Chronic Low Back Pain and Its Relationship to Numerical Pain Rating Scores.,"Identifying the effects of pain catastrophizing on movement patterns in people with chronic low back pain (CLBP) has important clinical implications for treatment approaches. Prior research has shown people with CLBP have decreased lumbar-hip ratios during trunk flexion movements, indicating a decrease in the contribution of lumbar flexion relative to hip flexion during trunk flexion. In this study, we aim to explore the relationship between pain catastrophizing and movement patterns during trunk flexion in a CLBP population. Participants with CLBP (N = 98, male = 59, age = 39.1 ± 13.0) completed a virtual reality standardized reaching task that necessitated a progressively larger amount of trunk flexion. Specifically, participants reached for four virtual targets to elicit 15°, 30°, 45°, and 60° trunk flexion in the mid-sagittal plane. Lumbar flexion was derived from the motion data. Self-report measures of numerical pain ratings, kinesiophobia, and pain catastrophizing were obtained. Pain catastrophizing leads to decreased lumbar flexion angles during forward reaching. This effect is greater in females than males.",39330445,12,9,2024
Beyond Pharmacology: A Narrative Review of Alternative Therapies for Anxiety Disorders.,"Anxiety disorders significantly reduce patients' quality of life. Current pharmacological treatments, primarily benzodiazepines and antidepressants, are associated with numerous side effects. Consequently, there is a continual search for alternative methods to traditional therapies that are less burdensome for patients and broaden their therapeutic options. Our objective was to determine the role of selected alternative methods in the treatment of anxiety disorders. In this review, we examined recent evidence on alternative treatments for anxiety disorders, including physical activity, mindfulness, virtual reality (VR) technology, biofeedback, herbal remedies, transcranial magnetic stimulation (TMS), cryotherapy, hyperbaric therapy, vagus nerve stimulation (VNS), 3,4-methylenedioxymethamphetamine (MDMA), electroconvulsive therapy (ECT), and eye movement desensitization and reprocessing (EMDR) therapy. For this purpose we reviewed PubMed and after initial search, we excluded works unrelated to our aim, non-orginal data and animal studies. We conducted second search to cover all minor methods. We included 116 studies, which data is presented in Tables. We have investigated which methods can support treatment and which can be used as a stand-alone treatment. We assessed the risks to benefits of using alternative treatments. Alternative treatments significantly expand the options available to patients and clinicians, with many serving as adjuncts to traditional therapies. Among the methods presented, mindfulness has the most significant therapeutic potential.",39329885,16,9,2024
A drug-free prescription for pain.,NA,39322725,NA,NA,NA
Pain: recognizing the power of non-pharmaceutical interventions.,NA,39322723,NA,NA,NA
